Тип,Цена заявки,Цена сделки,Мощность
Office,2.0,0.0,0.0
Office,2.4000000000000004,0.0,0.0
Office,7.400000000000005,0.0,0.0
HouseB,7.400000000000005,0.0,0.0
Office,7.600000000000005,0.0,0.0
HouseB,2.4000000000000004,0.0,0.0
HouseB,7.600000000000005,0.0,0.0
Office,7.800000000000005,0.0,0.0
HouseB,7.800000000000005,0.0,0.0
Office,8.000000000000005,0.0,0.0
HouseB,8.000000000000005,0.0,0.0
Office,2.6000000000000005,0.0,0.0
HouseB,2.6000000000000005,0.0,0.0
Office,8.200000000000006,0.0,0.0
HouseB,8.200000000000006,0.0,0.0
Office,8.400000000000006,0.0,0.0
HouseB,8.400000000000006,0.0,0.0
Office,8.600000000000005,0.0,0.0
HouseB,8.600000000000005,0.0,0.0
HouseB,2.0,0.0,0.0
Office,8.800000000000006,0.0,0.0
HouseB,8.800000000000006,0.0,0.0
Office,9.000000000000007,0.0,0.0
HouseB,9.000000000000007,0.0,0.0
Office,9.200000000000006,0.0,0.0
HouseB,9.200000000000006,0.0,0.0
Office,9.400000000000006,0.0,0.0
HouseB,9.400000000000006,0.0,0.0
Office,9.600000000000007,0.0,0.0
HouseB,9.600000000000007,0.0,0.0
Office,9.800000000000008,0.0,0.0
Office,2.8000000000000007,0.0,0.0
HouseB,2.8000000000000007,0.0,0.0
Office,3.000000000000001,0.0,0.0
HouseB,3.000000000000001,0.0,0.0
Office,3.200000000000001,0.0,0.0
HouseB,3.200000000000001,0.0,0.0
Office,3.4000000000000012,0.0,0.0
HouseB,3.4000000000000012,0.0,0.0
Office,3.6000000000000014,0.0,0.0
HouseB,3.6000000000000014,0.0,0.0
Office,3.8000000000000016,0.0,0.0
HouseB,3.8000000000000016,0.0,0.0
Office,4.000000000000002,0.0,0.0
HouseB,4.000000000000002,0.0,0.0
Office,2.2,0.0,0.0
HouseB,2.2,0.0,0.0
Office,4.200000000000002,0.0,0.0
HouseB,4.200000000000002,0.0,0.0
Office,4.400000000000002,0.0,0.0
HouseB,4.400000000000002,0.0,0.0
Office,4.600000000000002,0.0,0.0
HouseB,4.600000000000002,0.0,0.0
Office,4.8000000000000025,0.0,0.0
HouseB,4.8000000000000025,0.0,0.0
Office,5.000000000000003,0.0,0.0
HouseB,5.000000000000003,0.0,0.0
Office,5.200000000000003,0.0,0.0
HouseB,5.200000000000003,0.0,0.0
Office,5.400000000000003,0.0,0.0
HouseB,5.400000000000003,0.0,0.0
Office,5.600000000000003,0.0,0.0
HouseB,5.600000000000003,0.0,0.0
Office,5.800000000000003,0.0,0.0
HouseB,5.800000000000003,0.0,0.0
Office,6.0000000000000036,0.0,0.0
HouseB,6.0000000000000036,0.0,0.0
Office,6.200000000000004,0.0,0.0
HouseB,6.200000000000004,0.0,0.0
Office,6.400000000000004,0.0,0.0
HouseB,6.400000000000004,0.0,0.0
Office,6.600000000000004,0.0,0.0
HouseB,6.600000000000004,0.0,0.0
Office,6.800000000000004,0.0,0.0
HouseB,6.800000000000004,0.0,0.0
Office,7.000000000000004,0.0,0.0
HouseB,7.000000000000004,0.0,0.0
Office,7.200000000000005,0.0,0.0
HouseB,7.200000000000005,0.0,0.0